Strike,,,,,,,,,,,,,
Strike,Ticker,Bid,Ask,Last,IVM,Volm,Strike,Ticker,Bid,Ask,Last,IVM,Volm
19-Sep-25 (24d); CSize 100; R 4.48; IFwd 23506.89,,,,,,,,,,,,,
23375,NDXP 9/19/25 C23375,433.7000122,499.8999939,0,16.25117874,0,23375,NDXP 9/19/25 P23375,333.1000061,336.8999939,0,15.72660255,0
23400,NDXP 9/19/25 C23400,417.2999878,484,703.539978,16.13659477,0,23400,NDXP 9/19/25 P23400,342,345.7999878,555.9099731,15.61857033,0
23425,NDXP 9/19/25 C23425,406.7000122,481.3999939,0,16.3951931,0,23425,NDXP 9/19/25 P23425,351.2999878,355.1000061,582.4500122,15.51686859,0
23450,NDXP 9/19/25 C23450,400,448.1000061,456.5,16.10703468,0,23450,NDXP 9/19/25 P23450,360.7999878,364.6000061,0,15.41324234,0
23475,NDXP 9/19/25 C23475,385.8999939,425.8999939,0,15.88278866,0,23475,NDXP 9/19/25 P23475,370.5,374.2999878,354.2799988,15.30751801,1
30-Sep-25 (35d); CSize 100; R 4.48; IFwd 23530.71,,,,,,,,,,,,,
23375,NDXP 9/30/25 C23375,557.7000122,562.4000244,476.8500061,16.56399918,0,23375,NDXP 9/30/25 P23375,398.6000061,402.2000122,466.019989,15.95312786,0
23400,NDXP 9/30/25 C23400,541.4000244,546.2000122,489.7999878,16.46209145,0,23400,NDXP 9/30/25 P23400,407.2999878,411,391.7799988,15.85634041,1
23425,NDXP 9/30/25 C23425,525.5,530.2000122,450.0899963,16.36371231,0,23425,NDXP 9/30/25 P23425,416.2000122,420,577.7999878,15.75927448,0
23450,NDXP 9/30/25 C23450,510,514.4000244,687.4000244,16.26874161,0,23450,NDXP 9/30/25 P23450,425.3999939,429.1000061,0,15.66236687,0
23475,NDXP 9/30/25 C23475,494.3999939,498.7999878,729.4099731,16.16853333,0,23475,NDXP 9/30/25 P23475,434.7999878,438.5,419.0299988,15.56664467,2
17-Oct-25 (52d); CSize 100; R 4.48; IFwd 23584.53,,,,,,,,,,,,,
23375,NDX 10/17/25 C23375,710.5999756,716.0999756,724.7000122,16.97994804,1,23375,NDX 10/17/25 P23375,498.8999939,502.3999939,511.5,16.46329117,0
23400,NDX 10/17/25 C23400,694.4000244,699.7999878,582.7999878,16.88589668,0,23400,NDX 10/17/25 P23400,507.5,511.1000061,709.7999878,16.3848381,0
23425,NDX 10/17/25 C23425,678.4000244,683.7999878,760.4500122,16.80706596,0,23425,NDX 10/17/25 P23425,516.2000122,519.9000244,0,16.30429268,0
23450,NDX 10/17/25 C23450,661.7999878,667.7999878,0,16.71543884,0,23450,NDX 10/17/25 P23450,525.2000122,529,0,16.22755432,0
23475,NDX 10/17/25 C23475,647,652.0999756,0,16.64815712,0,23475,NDX 10/17/25 P23475,534.2000122,538.2000122,0,16.14761353,0
17-Oct-25 (52d); CSize 100; R 4.48; IFwd 23584.53,,,,,,,,,,,,,
23375,NDXP 10/17/25 C23375,686.9000244,750.5999756,0,17.06361198,0,23375,NDXP 10/17/25 P23375,502.2999878,508.5,537.4000244,16.55024719,1
23400,NDXP 10/17/25 C23400,671.2000122,740.5999756,644.7299805,17.06420326,0,23400,NDXP 10/17/25 P23400,510.8999939,517.2000122,903.1900024,16.47187424,0
23425,NDXP 10/17/25 C23425,654.9000244,724.5999756,0,16.98116112,0,23425,NDXP 10/17/25 P23425,519.7000122,526,0,16.39284134,0
23450,NDXP 10/17/25 C23450,639.7000122,708.7000122,0,16.91036606,0,23450,NDXP 10/17/25 P23450,528.7000122,534.9000244,0,16.31347084,0
23475,NDXP 10/17/25 C23475,623.9000244,693.0999756,687.0499878,16.83097267,0,23475,NDXP 10/17/25 P23475,537.7999878,544.0999756,0,16.23497581,0
21-Nov-25 (87d); CSize 100; R 4.48; IFwd 23674.62,,,,,,,,,,,,,
23200,NDX 11/21/25 C23200,1095.400024,1102,1106.890015,18.44455147,0,23200,NDX 11/21/25 P23200,622.9000244,626.2000122,595.5,18.05018616,0
23300,NDX 11/21/25 C23300,1028.5,1034.800049,868.2000122,18.18416023,0,23300,NDX 11/21/25 P23300,654.5999756,658.2000122,642.5,17.79234886,4
23400,NDX 11/21/25 C23400,963.2999878,969.4000244,835.2000122,17.92657089,0,23400,NDX 11/21/25 P23400,688.0999756,691.9000244,874.2000122,17.53750992,0
23500,NDX 11/21/25 C23500,900.0999756,905.7999878,782,17.66949654,0,23500,NDX 11/21/25 P23500,723.4000244,727.5999756,696.0900269,17.28041077,3
23600,NDX 11/21/25 C23600,838.7999878,844.2000122,892.7000122,17.42438889,9,23600,NDX 11/21/25 P23600,760.5999756,765.2000122,732.8300171,17.03410149,0
21-Nov-25 (87d); CSize 100; R 4.48; IFwd 23674.62,,,,,,,,,,,,,
23200,NDXP 11/21/25 C23200,1007.599976,1204,0,18.55679131,0,23200,NDXP 11/21/25 P23200,626.2000122,633.5,800,18.13813591,0
23300,NDXP 11/21/25 C23300,940.5999756,1137.099976,0,18.29738617,0,23300,NDXP 11/21/25 P23300,658.0999756,665.5,593.0999756,17.8818531,0
23400,NDXP 11/21/25 C23400,875.2000122,1071.800049,0,18.03792572,0,23400,NDXP 11/21/25 P23400,691.5999756,699.0999756,622.2000122,17.62532043,0
23500,NDXP 11/21/25 C23500,811.2000122,1008.400024,0,17.77424812,0,23500,NDXP 11/21/25 P23500,727.0999756,734.5999756,653.5,17.36857796,0
23600,NDXP 11/21/25 C23600,811.5999756,891.5999756,0,17.59961891,0,23600,NDXP 11/21/25 P23600,764.5,772.0999756,694.8499756,17.12351227,0
19-Dec-25 (115d); CSize 100; R 4.44; IFwd 23741.87,,,,,,,,,,,,,
23200,NDX 12/19/25 C23200,1273.699951,1280.300049,1374.599976,18.92128372,0,23200,NDX 12/19/25 P23200,736.5,739.7999878,710.5,18.57650185,0
23300,NDX 12/19/25 C23300,1207.300049,1213.699951,1525.839966,18.6925106,0,23300,NDX 12/19/25 P23300,768.5,771.9000244,753.4000244,18.34859085,0
23400,NDX 12/19/25 C23400,1142.5,1148.599976,1195.5,18.46742821,0,23400,NDX 12/19/25 P23400,801.9000244,805.7000122,764.2000122,18.12369347,2
23500,NDX 12/19/25 C23500,1079.199951,1085,971.4000244,18.24910927,0,23500,NDX 12/19/25 P23500,837,840.9000244,822.7199707,17.9068222,0
23600,NDX 12/19/25 C23600,1017.599976,1023.200012,1065.420044,18.02520943,0,23600,NDX 12/19/25 P23600,873.5999756,877.9000244,848,17.68082428,3
31-Dec-25 (127d); CSize 100; R 4.42; IFwd 23772.78,,,,,,,,,,,,,
23000,NDXP 12/31/25 C23000,1477.300049,1489.400024,1338.300049,19.53965187,0,23000,NDXP 12/31/25 P23000,712.2999878,720,769.6500244,19.21459389,0
23200,NDXP 12/31/25 C23200,1340.599976,1352.300049,0,19.09298515,0,23200,NDXP 12/31/25 P23200,772.2000122,780,848.2999878,18.7707119,0
23400,NDXP 12/31/25 C23400,1209.400024,1220.5,821.460022,18.65512848,0,23400,NDXP 12/31/25 P23400,837.2000122,845.5999756,1799,18.33305931,0
23500,NDXP 12/31/25 C23500,1145.900024,1156.800049,1316.599976,18.44233894,0,23500,NDXP 12/31/25 P23500,871.9000244,880.5999756,0,18.12106705,0
23600,NDXP 12/31/25 C23600,1084,1094.599976,1307.52002,18.22544098,0,23600,NDXP 12/31/25 P23600,908.2000122,917.2000122,0,17.90446281,0
16-Jan-26 (143d); CSize 100; R 4.39; IFwd 23833.56,,,,,,,,,,,,,
23000,NDX 1/16/26 C23000,1582.099976,1591,1655,19.69426727,0,23000,NDX 1/16/26 P23000,759.5999756,764.2999878,733,19.38768005,0
23200,NDX 1/16/26 C23200,1445.5,1454.099976,1629.569946,19.27198982,0,23200,NDX 1/16/26 P23200,819.2999878,824,916.960022,18.96654129,0
23400,NDX 1/16/26 C23400,1314,1322.099976,1227.699951,18.85753822,0,23400,NDX 1/16/26 P23400,883.7999878,888.9000244,827.25,18.55179405,0
23500,NDX 1/16/26 C23500,1250.300049,1258.099976,1302.670044,18.65380669,0,23500,NDX 1/16/26 P23500,918,923.4000244,937.1500244,18.3471508,0
23600,NDX 1/16/26 C23600,1187.900024,1195.5,1490.579956,18.44721413,0,23600,NDX 1/16/26 P23600,953.5999756,959.2000122,890.0499878,18.13932228,0
20-Feb-26 (178d); CSize 100; R 4.33; IFwd 23916.01,,,,,,,,,,,,,
23200,NDX 2/20/26 C23200,1637.900024,1647.900024,1747.98999,19.88712692,0,23200,NDX 2/20/26 P23200,932.5999756,938.5999756,1090.900024,19.36258888,0
23300,NDX 2/20/26 C23300,1572.099976,1582,0,19.69849968,0,23300,NDX 2/20/26 P23300,964.5,970.5999756,0,19.17376137,0
23400,NDX 2/20/26 C23400,1506.199951,1517.099976,0,19.50099754,0,23400,NDX 2/20/26 P23400,997.5,1003.900024,1030.199951,18.98728752,0
23500,NDX 2/20/26 C23500,1444,1453.400024,966.3099976,19.32528877,0,23500,NDX 2/20/26 P23500,1031.599976,1038.300049,1418.699951,18.80096245,0
23600,NDX 2/20/26 C23600,1381.800049,1391,1495.349976,19.13670731,0,23600,NDX 2/20/26 P23600,1067,1073.800049,1176,18.62231064,0
20-Mar-26 (206d); CSize 100; R 4.28; IFwd 23978.22,,,,,,,,,,,,,
23200,NDX 3/20/26 C23200,1789.400024,1797.5,1562.890015,19.73071861,0,23200,NDX 3/20/26 P23200,1026.5,1030.599976,1174.900024,19.48773956,0
23300,NDX 3/20/26 C23300,1724.300049,1732.199951,1508.300049,19.56458092,0,23300,NDX 3/20/26 P23300,1058.800049,1063,1034.400024,19.32076836,2
23400,NDX 3/20/26 C23400,1660.199951,1668,1718.579956,19.40017509,0,23400,NDX 3/20/26 P23400,1092.099976,1096.5,1081.300049,19.15537643,1
23500,NDX 3/20/26 C23500,1597.199951,1604.800049,1649.550049,19.23700905,0,23500,NDX 3/20/26 P23500,1126.400024,1131,1051.349976,18.99036026,0
23600,NDX 3/20/26 C23600,1535.300049,1542.599976,1382.900024,19.07835388,0,23600,NDX 3/20/26 P23600,1161.800049,1166.599976,1138.709961,18.83003998,0
31-Mar-26 (217d); CSize 100; R 4.27; IFwd 24001.00,,,,,,,,,,,,,
23200,NDXP 3/31/26 C23200,1837.599976,1854.300049,416.8999939,19.78846931,0,23200,NDXP 3/31/26 P23200,1052.300049,1064.800049,0,19.5471096,0
23300,NDXP 3/31/26 C23300,1772.5,1789.099976,237.8000031,19.6253891,0,23300,NDXP 3/31/26 P23300,1084.5,1097.199951,1096.599976,19.38341141,0
23400,NDXP 3/31/26 C23400,1708.5,1724.900024,346,19.46444321,0,23400,NDXP 3/31/26 P23400,1117.800049,1130.599976,0,19.22162628,0
23500,NDXP 3/31/26 C23500,1645.5,1661.699951,1410.650024,19.30446815,0,23500,NDXP 3/31/26 P23500,1152,1165,0,19.06001663,0
23600,NDXP 3/31/26 C23600,1583.5,1599.599976,1451.5,19.14877701,0,23600,NDXP 3/31/26 P23600,1187.199951,1200.599976,1308.199951,18.9028511,0
17-Apr-26 (234d); CSize 100; R 4.24; IFwd 24049.48,,,,,,,,,,,,,
23000,NDX 4/17/26 C23000,2059.100098,2069.899902,0,20.20607948,0,23000,NDX 4/17/26 P23000,1034,1040.099976,1149,19.98073006,0
23200,NDX 4/17/26 C23200,1926.599976,1937.099976,1353.099976,19.89115906,0,23200,NDX 4/17/26 P23200,1095.800049,1102,1444.199951,19.66370773,0
23400,NDX 4/17/26 C23400,1797.800049,1807.900024,1293.199951,19.58063698,0,23400,NDX 4/17/26 P23400,1161.300049,1167.699951,1523.800049,19.352005,0
23500,NDX 4/17/26 C23500,1734.900024,1744.800049,0,19.42792702,0,23500,NDX 4/17/26 P23500,1195.400024,1202,1412.430054,19.19717979,0
23600,NDX 4/17/26 C23600,1673,1682.699951,1177.800049,19.27675056,0,23600,NDX 4/17/26 P23600,1230.5,1237.300049,1747.199951,19.04349136,0
15-May-26 (262d); CSize 100; R 4.19; IFwd 24116.31,,,,,,,,,,,,,
23000,NDX 5/15/26 C23000,2193.399902,2204.600098,0,20.40369987,0,23000,NDX 5/15/26 P23000,1106.800049,1113.199951,0,20.19885063,0
23200,NDX 5/15/26 C23200,2062,2072.899902,2009.800049,20.11034584,0,23200,NDX 5/15/26 P23200,1169.199951,1175.699951,0,19.90365219,0
23400,NDX 5/15/26 C23400,1934.199951,1944.699951,0,19.82282448,0,23400,NDX 5/15/26 P23400,1235,1241.599976,0,19.61207008,0
23500,NDX 5/15/26 C23500,1871.599976,1881.900024,0,19.68027496,0,23500,NDX 5/15/26 P23500,1269.099976,1276.5,0,19.47078133,0
23600,NDX 5/15/26 C23600,1809.900024,1820.099976,1565.97998,19.53911209,0,23600,NDX 5/15/26 P23600,1304.300049,1311.300049,0,19.32512856,0
18-Jun-26 (296d); CSize 100; R 4.14; IFwd 24187.50,,,,,,,,,,,,,
23000,NDX 6/18/26 C23000,2337.899902,2349.699951,2270.100098,20.54398918,0,23000,NDX 6/18/26 P23000,1186.800049,1193.400024,2225.899902,20.35911942,0
23200,NDX 6/18/26 C23200,2207.899902,2219.100098,2249.899902,20.27212906,0,23200,NDX 6/18/26 P23200,1249.5,1256.199951,1371.400024,20.08138084,0
23400,NDX 6/18/26 C23400,2080.800049,2091.699951,1894.599976,20.00245476,0,23400,NDX 6/18/26 P23400,1315.400024,1322.199951,2192.649902,19.80750275,0
23500,NDX 6/18/26 C23500,2018.5,2029.199951,1863.900024,19.86886787,0,23500,NDX 6/18/26 P23500,1349.599976,1356.5,1351.599976,19.67236137,0
23600,NDX 6/18/26 C23600,1957.099976,1967.599976,2156.800049,19.73692513,0,23600,NDX 6/18/26 P23600,1384.599976,1391.699951,1302.900024,19.53812599,0
