Model,AnnRet,Vol,Sharpe,Sortino,MaxDD,Calmar,AvgCost_bps,Turnover,EffN
lstm,0.1144770607352256,0.1377659887075424,0.0854701176285743,0.0217776205390691,-0.2162798643112182,0.5293005704879761,0.0,0.6355300545692444,8.774782180786133
transformer,0.133268266916275,0.1337858587503433,0.1074908003211021,0.0254975967109203,-0.2078188061714172,0.6412714719772339,0.0,0.3041023910045624,11.11662483215332
lstm,0.1181593835353851,0.13166344165802,0.0933100581169128,0.0233857668936252,-0.2200762033462524,0.536902129650116,0.0,0.3808039724826813,10.72829246520996
transformer,0.1331889778375625,0.1337413787841797,0.1074443459510803,0.025492176413536,-0.2076485753059387,0.6414152979850769,0.0,0.3031029403209686,11.125181198120115
lstm,0.0981673225760459,0.1373535245656967,0.0692601576447486,0.0161777418106794,-0.2204530239105224,0.4452981352806091,0.0,0.9575136303901672,7.4623332023620605
lstm,0.1075088530778884,0.1368785798549652,0.0789645984768867,0.0198734775185585,-0.221380352973938,0.4856296181678772,0.0,0.6991612911224365,8.639881134033203
lstm,0.0975412130355835,0.1554098725318908,0.060654442757368,0.0156784988939762,-0.3237844705581665,0.3012535274028778,0.0,1.25873064994812,4.284654140472412
lstm,0.1104318276047706,0.1355797499418258,0.0827107653021812,0.0208027567714452,-0.2193166613578796,0.5035268664360046,0.0,0.6340104341506958,9.093982696533203
transformer,0.13337042927742,0.1337621361017227,0.1076157763600349,0.0255390051752328,-0.2074929475784301,0.6427708864212036,0.0,0.3039608597755432,11.118368148803713
transformer,0.1328243017196655,0.133641242980957,0.1071464344859123,0.0254220385104417,-0.2074193358421325,0.6403660774230957,0.0,0.2991399466991424,11.14441967010498
transformer,0.1333254277706146,0.1337535977363586,0.1075759977102279,0.0255371127277612,-0.2072365880012512,0.6433488726615906,0.0,0.303264707326889,11.119036674499512
transformer,0.1320824027061462,0.133513256907463,0.1064785569906234,0.0252440441399812,-0.207813560962677,0.6355812549591064,0.0,0.2928631901741028,11.179323196411133
transformer,0.1355588287115097,0.1341122984886169,0.109597660601139,0.0260799992829561,-0.2059230208396911,0.6582985520362854,0.0,0.3181446492671966,11.028936386108398
transformer,0.13257697224617,0.1336061209440231,0.106917880475521,0.0253576077520847,-0.2077274322509765,0.6382256150245667,0.0,0.2973174154758453,11.15273380279541
transformer,0.13224327564239502,0.1335756778717041,0.10659581422805786,0.02526766248047352,-0.20791840553283691,0.6360344886779785,0.0,0.2945684492588043,11.168699264526367
