Model,Stress,AnnRet,Vol,Sharpe,Sortino,MaxDD,Calmar
Transformer,Baseline,0.1249343965060241,0.13331430056932464,0.09920203535018238,0.023422077458182013,-0.2060207145842613,0.6064166739617837
LSTM,Baseline,0.10560630975903615,0.13286925079326434,0.07936167711602307,0.01980422104943549,-0.21411438414824113,0.49322379801175276
Transformer,TC 10bps,0.11679214284337348,0.1332759791629156,0.09075845930901717,0.021330507868496353,-0.20670089508601286,0.5650296908206839
LSTM,TC 10bps,0.09438859628915665,0.1327745591563254,0.0677020482807126,0.016766091913147266,-0.2226634052214389,0.4239070905920226
Transformer,TC 25bps,0.09236538185542169,0.1331724938477254,0.0653929351475282,0.015160362426585089,-0.20881442990329602,0.4423323708890935
LSTM,TC 25bps,0.06073545587951807,0.1325311785677332,0.032613146311760044,0.007895351073030177,-0.26657569278088933,0.22783568616367236
Transformer,TC 50bps,0.05165411354216865,0.13303836567362223,0.023022705577680404,0.005218250855004045,-0.24061978367615522,0.2146710995778888
LSTM,TC 50bps,0.004646888530120498,0.13226187822498076,-0.026128663505550598,-0.0061002394801242974,-0.3507971076540225,0.013246655769722868
Transformer,Noise 0.25σ,0.1276895744578457,0.1336053680472783,0.10184564134097177,0.024472609133265242,-0.20134561923080574,0.634181041261389
LSTM,Noise 0.25σ,0.08014666776793195,0.13476407298416432,0.05204732480185362,0.012689332565603091,-0.2647945808818227,0.30267487914867325
Transformer,Noise 0.50σ,0.1348027899154136,0.15150007856279152,0.09632701208065199,0.023208713429795386,-0.1957518745768042,0.688641118794673
LSTM,Noise 0.50σ,0.11898355407440651,0.1453637663331156,0.08530197658278113,0.021569741996718943,-0.2260557710230613,0.5263460142397424
